Temperature (K)	Pressure (atm)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
298.00	2220.0	26.014	0.038441	6.1759	14.823	32.779	33.985	46.748	1823.9	-0.10302	undefined	undefined	supercritical
298.00	2235.0	26.053	0.038383	6.1707	14.863	32.717	34.006	46.744	1829.0	-0.10307	undefined	undefined	supercritical
298.00	2250.0	26.092	0.038326	6.1655	14.903	32.657	34.028	46.740	1834.1	-0.10311	undefined	undefined	supercritical
298.00	2265.0	26.130	0.038270	6.1604	14.943	32.596	34.050	46.737	1839.2	-0.10316	undefined	undefined	supercritical
298.00	2280.0	26.169	0.038214	6.1554	14.984	32.536	34.071	46.734	1844.2	-0.10320	undefined	undefined	supercritical
298.00	2295.0	26.207	0.038158	6.1504	15.024	32.476	34.093	46.730	1849.2	-0.10325	undefined	undefined	supercritical
298.00	2310.0	26.245	0.038103	6.1455	15.064	32.416	34.114	46.727	1854.2	-0.10329	undefined	undefined	supercritical
298.00	2325.0	26.282	0.038049	6.1407	15.104	32.357	34.135	46.724	1859.2	-0.10333	undefined	undefined	supercritical
298.00	2340.0	26.320	0.037995	6.1359	15.144	32.298	34.157	46.721	1864.1	-0.10336	undefined	undefined	supercritical
298.00	2355.0	26.357	0.037941	6.1312	15.185	32.240	34.178	46.719	1869.0	-0.10340	undefined	undefined	supercritical
298.00	2370.0	26.394	0.037888	6.1266	15.225	32.182	34.199	46.716	1873.9	-0.10343	undefined	undefined	supercritical
298.00	2385.0	26.430	0.037835	6.1220	15.265	32.124	34.220	46.713	1878.8	-0.10347	undefined	undefined	supercritical
298.00	2400.0	26.467	0.037783	6.1175	15.306	32.066	34.240	46.711	1883.7	-0.10350	undefined	undefined	supercritical
298.00	2415.0	26.503	0.037731	6.1130	15.346	32.009	34.261	46.709	1888.5	-0.10353	undefined	undefined	supercritical
298.00	2430.0	26.539	0.037680	6.1086	15.386	31.951	34.282	46.707	1893.3	-0.10356	undefined	undefined	supercritical
298.00	2445.0	26.575	0.037629	6.1042	15.426	31.895	34.303	46.705	1898.1	-0.10359	undefined	undefined	supercritical
298.00	2460.0	26.611	0.037578	6.1000	15.467	31.838	34.323	46.703	1902.9	-0.10361	undefined	undefined	supercritical
298.00	2475.0	26.647	0.037528	6.0957	15.507	31.782	34.344	46.701	1907.6	-0.10364	undefined	undefined	supercritical
298.00	2490.0	26.682	0.037479	6.0916	15.547	31.726	34.364	46.699	1912.3	-0.10366	undefined	undefined	supercritical
298.00	2505.0	26.717	0.037429	6.0874	15.588	31.670	34.384	46.698	1917.0	-0.10369	undefined	undefined	supercritical
298.00	2520.0	26.752	0.037381	6.0834	15.628	31.615	34.405	46.696	1921.7	-0.10371	undefined	undefined	supercritical
298.00	2535.0	26.787	0.037332	6.0794	15.668	31.560	34.425	46.695	1926.4	-0.10373	undefined	undefined	supercritical
298.00	2550.0	26.821	0.037284	6.0754	15.709	31.505	34.445	46.694	1931.0	-0.10375	undefined	undefined	supercritical
298.00	2565.0	26.855	0.037236	6.0715	15.749	31.451	34.465	46.692	1935.7	-0.10377	undefined	undefined	supercritical
298.00	2580.0	26.890	0.037189	6.0677	15.790	31.396	34.485	46.691	1940.3	-0.10378	undefined	undefined	supercritical
298.00	2595.0	26.924	0.037142	6.0639	15.830	31.342	34.505	46.690	1944.9	-0.10380	undefined	undefined	supercritical
298.00	2610.0	26.957	0.037096	6.0601	15.870	31.289	34.525	46.689	1949.4	-0.10382	undefined	undefined	supercritical
